id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
1,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Uredenje javne povrsine u Jagicevoj ulici,,,"667,598 kn",Jagiceva ulica 30,,,45.808725,15.959632,,,,,,,,,,,,,,,,,,,,,,1,"667,597.50",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Strucni nadzor nad izgradnjom fontane na pristupnom trgu u Jagicevoj,,,"15,000 kn",Jagiceva ulica 31,,,45.808749,15.959763,,,,,,,,,,,,,,,,,,,,,,1,"15,000.00",Nadzor,N,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Nove obveze,Rekonstrukcija fontane na Trgu kralja Tomislava,,,"1,700,000 kn",Trg kralja Tomislava,,,45.806349,15.977984,,,,,,,,,,,,,,,,,,,,,,1,"1,700,000.00",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Nove obveze,Uredenje Trga kralja Tomislava,,,"1,200,000 kn",Trg kralja Tomislava,,,45.806349,15.977984,,,,,,,,,,,,,,,,,,,,,,1,"1,200,000.00",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Uredenje Parka Gric,,,"2,731,266 kn",Park Gric,,,45.814685,15.971967,,,,,,,,,,,,,,,,,,,,,,1,"2,731,265.63",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Strucni nadzor nad uredenjem Parka Gric,,,"12,500 kn",Park Gric,,,45.814685,15.971967,,,,,,,,,,,,,,,,,,,,,,1,"12,500.00",Nadzor,N,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Koordinator zastite na radu II za uredenje Parka Gric,,,"5,800 kn",Park Gric,,,45.814685,15.971967,,,,,,,,,,,,,,,,,,,,,,1,"5,800.00",,,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Prenesene obveze iz prethodnog razdoblja,Izrada projektne dokumentacije za rekonstrukciju Aleksandrovih stuba,,,"25,000 kn",Aleksandrove stube,,,45.814799,15.969103,,,,,,,,,,,,,,,,,,,,,,1,"25,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Nove obveze,Izrada tehnicke dokumentacije za uredenje Parka Gric,,,"100,000 kn",Park Gric,,,45.814685,15.971967,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,2016-PROGRAM,Javne povrsine i javni objekti,Javne povrsine,Nove obveze,Izgradnja kanalizacije na Strossmayerovom setalistu,,,"400,000 kn",Strossmayerovo setalistue,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"400,000.00",Gradenje i nadzor,"G,N",,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
